character_id,raw_character_text
459.0,MR. BURNS' GEOMETRIC SHAPES
460.0,RINGO
461.0,WETHERBY
462.0,MRS. HOOVER
463.0,Chuck
464.0,Miss Hoover
465.0,BERGSTROM
466.0,Classmate
467.0,Terrisherri
468.0,Woman In Booth
469.0,Landlady
470.0,Kid Reporter
471.0,Husband Of Marge's Friend
472.0,Sophisticate #1
473.0,Sophisticate #2
474.0,Sophisticate #3
475.0,Sultan
476.0,Worm Man
477.0,Gloria
478.0,John
479.0,Captain
480.0,Convict
481.0,Customer
482.0,DIAMOND JOE
483.0,Lost And Found Guy
484.0,Radioactive Man
485.0,Fallout Boy
486.0,Convention Director
487.0,BUDDY
488.0,Dealer
489.0,Young Patty
490.0,Young Selma
492.0,Older Patty
493.0,Older Selma
494.0,Adult Narrator
495.0,Teller
496.0,Mrs. Glick
497.0,Asa
498.0,Soap Actress
499.0,Soap Actor
500.0,Osvaldo
501.0,Mail Person
502.0,Roman
503.0,Postal Worker
505.0,Joey
506.0,Guard #1
507.0,Guard #2
508.0,Host
509.0,Psychiatrist
510.0,Orderly
511.0,Michael
512.0,Floyd
513.0,Bart's Head
514.0,Wiseguy
515.0,Voice On Phone
516.0,Doctor
517.0,Dave
518.0,Snake Jailbird
519.0,Leon Kompowsky
520.0,Minnesota Girl
521.0,Alabama Boy
522.0,QUEENS BOY
523.0,Female Judge
524.0,Dad
525.0,Flight Attendant
526.0,Pilot
527.0,Irs Man
528.0,Hotel Guest
529.0,Miss Crowley
530.0,Truongmaria
531.0,TRUONG
532.0,MARIA
533.0,BARBARA
534.0,Worker
535.0,Guide
536.0,Lobbyist
537.0,Arnold
538.0,Newlywed Wife
539.0,White Trash Woman #1
540.0,Man #3
541.0,Old Timer
542.0,Guy
543.0,Songster
544.0,Page
545.0,Senator
546.0,Oil Developer
547.0,Agent
548.0,Speaker
549.0,Majority Leader
550.0,Everyone Else
551.0,President
552.0,Foreign Dignitary
553.0,Paper Boy
554.0,Sportscaster #1
555.0,Girl
556.0,Neighborhood Guy
557.0,Homemaker
558.0,Landscaper
559.0,Choreographer
560.0,George Washington
561.0,Video Voice
562.0,Man Shopper
563.0,HOMER (CONT'D
564.0,Collection Agent
565.0,Wife
566.0,Shoppers
567.0,Executive
568.0,Fat Tony
569.0,Legs
570.0,Louie
571.0,Race Announcer
572.0,Jack Larson
573.0,Fbi Agent #1
574.0,Fbi Agent #2
575.0,Rival Gang Leader
576.0,Psychic
577.0,Skinner Body
